id,City,Country,Station_Id,Station_Name,Latitude,Longitude,Timestamp,Total_Available_Slots,Total_Available_Free_Bikes,Total_Available_EBikes,Total_Available_Empty_Slots,
1,Paris,FR,0aff2f4aa9975ae7f3379f273cec4083,Plantes - Moulin Vert,48.83005755305626,2.3232302069664006,2024-01-09T08:32:30.879000Z,45,0,0,43,"48.83005755305626,2.3232302069664006"
1,Paris,FR,9d5e8812bab913b5ffae948cf4730781,Crevaux - Bugeaud,48.870809428669546,2.281149007691853,2024-01-09T08:32:31.226000Z,31,5,1,25,"48.870809428669546,2.281149007691853"
1,Paris,FR,1067e1bd44428676a13371f6b7ab121e,Artois - Berri,48.87393521240818,2.3064258322119713,2024-01-09T08:32:29.981000Z,23,19,13,2,"48.87393521240818,2.3064258322119713"
1,Paris,FR,c9a014d11040b1861c6e85efbb832ed8,Jules Vallès - Charonne,48.85428437993525,2.384767457842827,2024-01-09T08:32:31.857000Z,23,1,0,22,"48.85428437993525,2.384767457842827"
1,Paris,FR,29f54fb4923c0fbdedb3fa4604021806,Porte Molitor,48.84524763511433,2.2569015249609947,2024-01-09T08:32:30.940000Z,60,53,21,5,"48.84524763511433,2.2569015249609947"
1,Paris,FR,d3b3781c33d6911a2b9500deaae8f33b,Charles Frérot - Albert Guilpin,48.81558392,2.3505029082298283,2024-01-09T08:32:29.841000Z,30,19,6,10,"48.8155839183714,2.3505029082298283"
1,Paris,FR,2fb8cc6d815cc5d8c44e833b84caacc8,Cadix - Hameau,48.83401076,2.289516180753708,2024-01-09T08:32:32.693000Z,37,2,2,32,"48.8340107632249,2.289516180753708"
1,Paris,FR,6bc6f2d8fdc3834725d146dcf9357fda,Reuilly - Place Felix Eboue,48.84030274499962,2.394630398715453,2024-01-09T08:32:30.120000Z,42,2,0,40,"48.84030274499962,2.394630398715453"
1,Paris,FR,1c07dff207e7a45b0425b256837b96df,Gare RER les Grésillons,48.919898633572764,2.314584591,2024-01-09T08:32:32.668000Z,22,18,7,4,"48.919898633572764,2.31458459136273"
1,Paris,FR,7ad11b6e7ea15032c55a328e0389d49d,Alfred de Vigny - Place du Général Brocard,48.87836138361425,2.305254448220567,2024-01-09T08:32:31.453000Z,33,7,6,26,"48.87836138361425,2.305254448220567"
1,Paris,FR,f433a4e9e21c3002ad16356b3f6736e5,Cambon - Rivoli,48.86614339,2.325180065,2024-01-09T08:32:31.575000Z,40,16,5,21,"48.866143390992,2.3251800647137"
1,Paris,FR,8450f57ac206a32b85baa5d454366148,Jean Mermoz - Champs-Elysées,48.86968986,2.310732454,2024-01-09T08:32:30.221000Z,33,29,8,2,"48.869689856852,2.3107324540615"
1,Paris,FR,85eddb44cbdcb7673baa653c5577a5e5,Place de la Nation - Picpus,48.84682168,2.400113046,2024-01-09T08:32:32.384000Z,36,4,1,32,"48.846821681548,2.4001130461693"
1,Paris,FR,916abb00296671bf40a0857fbe6e9c09,Poissonniers - Championnet,48.89543299733937,2.3530178144574165,2024-01-09T08:32:32.631000Z,28,9,8,11,"48.89543299733937,2.3530178144574165"
1,Paris,FR,f46cb679b494cb6b960dcf9a7b7487b7,Flandrin - Longchamp,48.86877849178477,2.274354539176829,2024-01-09T08:32:31.679000Z,42,17,5,22,"48.86877849178477,2.274354539176829"
1,Paris,FR,6a2afbbf8bede56b4edb7c3ebade0e6c,Grande Truanderie - Saint-Denis,48.8626302,2.3498075,2024-01-09T08:32:29.901000Z,33,9,2,23,"48.8626302,2.3498075"
