Restaurant_ID,Restaurant_Name,Review_Count,Restaurant_Rating,Distance_Bike_Station,Restaurant_Latitude,Restaurant_Longitude,Restaurant_Zip_code,Latitude,Longitude,Cuisine_Category_1,Cuisine_Category_2,Cuisine_Category_3,Cuisine_Category_4,Cuisine_Category_5,All_Cuisine_Category,Yelp_Price_Category,Avg_Gmaps_Location_Rating,Max_Gmaps_Location_Review_Count,lodging,airport,library,amusement_park,light_rail_station,aquarium,bus_station,casino,shopping_mall,stadium,subway_station,tourist_attraction,train_station,transit_station,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,cafe,campground,car_dealer,car_rental,car_repair,car_wash,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,funeral_home,furniture_store,gas_station,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,lawyer,liquor_store,local_government_office,locksmith,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,night_club,painter,park,parking,pet_store,pharmacy,physiotherapist,plumber,police,post_office,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,spa,storage,store,supermarket,synagogue,taxi_stand,travel_agency,veterinary_care,zoo,Total_POI,Total_Available_Bike_Slots,Total_POI_No_Lodges,Popular_Restaurant
k7EIezUS1GHxJc9ALIWJhA,Saucisson et Beaujolais,16,4.5,245.4363731453138,48.8794842,2.1844472,92500,48.878194,2.181724,French,,,,,French,3,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,1
lQaY-u398z7t4lYp1vnfvQ,Le Bistrot Gourmand,7,4.0,88.94070330239538,48.87776,2.18274,92500,48.878194,2.181724,French,Bistros,,,,French-Bistros,4,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
mb1As21kDU719nTSGerNCg,Le Ganesha,1,5.0,65.29367289125513,48.8785488797489,2.18243535608053,92500,48.878194,2.181724,Indian,,,,,Indian,1,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
eg9mQfPdYxffoO3bJDslsw,Verana,3,5.0,77.46656079367517,48.878597,2.1825881,92500,48.878194,2.181724,Restaurants,,,,,Restaurants,1,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
L6mwTgmWYhyvaZR1fmvrug,Les Arts,6,4.0,239.86141120580757,48.8800392,2.1839099,92500,48.878194,2.181724,Italian,Bars,Coffee & Tea,,,Italian-Bars-Coffee & Tea,2,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
dB3gPJXy9_HpeEiEvQ46_g,Auberge de Souss,7,3.5,548.5640333150116,48.881947,2.186593,92500,48.878194,2.181724,Moroccan,,,,,Moroccan,1,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
9y2JCYl62gBimSy-peHBJg,Café de la Place,4,4.0,216.7196875748493,48.87951,2.18391,92500,48.878194,2.181724,Restaurants,,,,,Restaurants,2,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
v-rl7--kn-xaJgb9FqaYXg,Le Tir Bouchon,2,4.0,130.27562991742687,48.87804,2.18349,92500,48.878194,2.181724,Restaurants,,,,,Restaurants,1,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
qFrykI3phGEaq1EnwNC7hQ,L'Adresse,21,2.5,206.04832500289425,48.877388,2.1791869,92500,48.878194,2.181724,Brasseries,,,,,Brasseries,3,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
wp7V1Wuv_SYriF8BFtS_ww,Société Historique de Ru,1,4.0,74.43154225227066,48.8775258,2.1817844,92500,48.878194,2.181724,Arts & Entertainment,,,,,Arts & Entertainment,1,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
